datetime,actual,base,ridge,low,daily,high,hour,cap,rolling_mean_hour_3d,rolling_mean_hour_7d,rolling_mean_hour_14d,ratio_mean_hour_3d,ratio_mean_hour_7d,ratio_mean_hour_14d,prob_low_price,solarradiation,feelslike,rdn_demand,rdn_supply,demand_lag_24,supply_lag_24,price_lag_24,ratio_lag_24,windspeed,windgust,winddir,cloudcover,uvindex,precip,garpok_volume,vdr_supply,vdr_demand,is_weekend,is_off_day,is_summer,day_of_week_num
2026-06-11 04:00:00,5470.0,5816.283941601373,4417.007627929026,4417.007627929026,3902.423911738844,3902.423911738844,4,15000.0,4433.333333333333,3747.285714285714,4179.357142857143,0.2955555555555555,0.2498190476190476,0.2786238095238095,0.0368544,0.0,17.4,2493.9,2493.9,2295.6,2295.6,3900.0,0.26,6.2,10.8,163.0,7.0,0.0,0.0,3369.9,2835.0,6300.0,0,0,1,3
2026-06-11 05:00:00,6570.0,6473.9538951551485,5114.656135096608,5114.656135096608,4627.871836209196,4627.871836209196,5,15000.0,5166.666666666667,4156.714285714285,4492.214285714285,0.3444444444444444,0.2771142857142857,0.2994809523809523,0.009095883,0.0,16.8,2653.9,2653.9,2452.9,2452.9,4500.0,0.3,7.6,14.4,153.0,1.0,0.0,0.0,3491.2,2000.0,5470.0,0,0,1,3
2026-06-11 06:00:00,6712.0,7037.201702659927,6817.853795140112,6817.853795140112,6264.783936377588,6264.783936377588,6,15000.0,6221.333333333333,5223.714285714285,5300.214285714285,0.4147555555555555,0.348247619047619,0.3533476190476191,0.0015755683,47.0,17.3,2953.5,2953.5,2876.3,2876.3,5500.0,0.3666666666666666,7.3,15.5,149.0,1.0,0.0,0.0,3939.2,1394.0,6570.0,0,0,1,3
2026-06-11 07:00:00,6900.0,7078.287767575227,5951.518027867578,5951.518027867578,6137.875976028624,6137.875976028624,7,15000.0,6667.666666666667,5414.714285714285,5457.357142857143,0.4445111111111111,0.3609809523809524,0.3638238095238095,0.0005320652,169.0,18.9,3505.7,3505.7,3398.3,3398.3,6000.0,0.4,6.2,15.1,142.0,1.0,0.0,0.0,4549.4,4027.2,6712.0,0,0,1,3
2026-06-11 08:00:00,5000.0,6292.574377770648,5335.466892592968,5335.466892592968,5027.697691991401,5027.697691991401,8,15000.0,6167.333333333333,4968.857142857143,5078.285714285715,0.4111555555555553,0.3312571428571428,0.338552380952381,0.0024719588,324.0,21.0,3548.4,3548.4,3507.3,3507.3,5300.0,0.3533333333333333,6.0,16.6,141.0,0.0,0.0,0.0,4960.4,5000.0,6900.0,0,0,1,3
2026-06-11 09:00:00,4450.0,5234.439903131818,4437.69611150096,4437.69611150096,3775.4614178204874,3775.4614178204874,9,15000.0,5211.0,3640.285714285714,4290.857142857143,0.3473999999999999,0.2426857142857143,0.2860571428571429,0.025123471,483.0,23.6,3507.0,3507.0,3492.9,3492.9,3940.0,0.2626666666666666,6.9,19.4,133.0,0.0,0.0,0.0,5211.0,4100.0,5000.0,0,0,1,3
2026-06-11 10:00:00,1150.0,1736.739289440442,1257.8804708425823,1253.3152354212912,1179.5828906426489,1179.5828906426489,10,15000.0,2463.0,1806.857142857143,2560.8571428571427,0.1641999999999998,0.1204571428571428,0.1707238095238095,0.90033203,632.0,25.3,3547.4,3547.4,3355.5,3355.5,1050.0,0.07,8.6,23.4,141.0,2.0,0.0,0.0,5232.0,3663.0,4470.0,0,0,1,3
2026-06-11 11:00:00,649.0,1206.377343274144,1044.360745733652,727.180372866826,627.9279676756219,627.9279676756219,11,15000.0,1256.6666666666667,918.0,1167.2142857142858,0.0837777777777773,0.0611999999999999,0.0778142857142857,0.96386516,738.0,26.0,3308.6,3308.6,3252.2,3252.2,772.0,0.0514666666666666,10.8,28.8,156.0,13.0,0.0,0.0,5215.5,818.0,1170.0,0,0,1,3
2026-06-11 12:00:00,649.0,817.42958255914,693.5994316061076,468.0497158030538,446.68653281439697,446.68653281439697,12,15000.0,1245.3333333333333,803.7142857142857,1357.5,0.0830222222222224,0.0535809523809524,0.0905,0.9752553,805.0,26.7,3485.3,3485.3,3273.7,3273.7,772.0,0.0514666666666666,11.8,31.0,168.0,11.0,0.0,0.0,5159.3,285.0,629.0,0,0,1,3
2026-06-11 13:00:00,670.0,1468.947433352745,1524.9218698668149,850.9609349334074,737.9098184454392,737.9098184454392,13,15000.0,1280.6666666666667,780.2857142857143,1121.142857142857,0.0853777777777776,0.0520190476190476,0.0747428571428571,0.9704892,832.0,26.8,3595.2,3595.2,3368.8,3368.8,878.0,0.0585333333333333,13.0,33.8,176.0,19.0,0.0,0.0,5174.1,400.0,684.0,0,0,1,3
2026-06-11 14:00:00,732.0,1067.6805626784976,668.4641612205153,398.35708061025764,406.69574261373936,406.69574261373936,14,15000.0,1335.6666666666667,750.8571428571429,1102.2857142857142,0.0890444444444443,0.0500571428571428,0.0734857142857142,0.96763223,797.0,27.0,3516.9,3516.9,3339.9,3339.9,935.0,0.0623333333333333,11.9,33.8,176.0,20.0,0.0,0.1,5191.6,400.0,668.0,0,0,1,3
2026-06-11 15:00:00,732.0,1451.7740249172696,873.9450706530315,488.47253532651575,503.5910327643627,503.5910327643627,15,15000.0,1406.3333333333333,762.0,1015.6428571428572,0.0937555555555555,0.0507999999999999,0.0677095238095238,0.94333327,770.0,27.4,3437.6,3437.6,3373.9,3373.9,1120.0,0.0746666666666666,11.4,32.4,167.0,14.0,0.0,0.0,4973.6,432.0,733.0,0,0,1,3
2026-06-11 16:00:00,3700.0,3161.5354784175943,3407.1515522859404,2014.2007761429702,2156.027314438181,2156.027314438181,16,15000.0,3318.0,1795.857142857143,1890.8685714285716,0.2211999999999997,0.1197238095238096,0.1260579047619047,0.5701758,695.0,27.3,3591.9,3591.9,3489.9,3489.9,2909.0,0.1939333333333333,10.1,30.6,163.0,7.0,0.0,0.0,4642.0,533.0,5100.0,0,0,1,3
2026-06-11 17:00:00,5400.0,5165.091598471412,5226.3317534526805,5226.3317534526805,4995.132626928553,4995.132626928553,17,15000.0,5652.0,3691.0,3644.142142857144,0.3768000000000002,0.2460666666666666,0.2429428095238095,0.025450135,598.0,27.0,3612.4,3612.4,3618.9,3618.9,5816.0,0.3877333333333333,9.6,27.7,168.0,5.0,0.0,0.0,4760.6,3005.0,5000.0,0,0,1,3
2026-06-11 18:00:00,6850.0,7193.55531131965,7302.690291610408,7302.690291610408,6997.836740536747,6997.836740536747,18,15000.0,7241.993333333335,6116.568571428572,6115.141428571429,0.4827995555555553,0.4077712380952381,0.4076760952380952,0.00068671245,460.0,26.6,3907.1,3907.1,3893.7,3893.7,7982.34,0.532156,8.8,24.8,178.0,20.0,0.0,0.0,4975.9,4500.0,5400.1,0,0,1,3
