3m,14d,all,bias3,low,summer,cap,eve,applied,group_by,sb_name,rb_name,rolling,stat,beta,hours_name,hours,gate,th,source_bins,ratio_bins
6.340082343467662,11.120125990381615,6.399653473365201,-44.978842044698254,50.01211284987443,35.68550532902565,1.5505500562664434,2.9446944417686596,480,"hour,source_bin",wide,default,13,mean,0.15,day,day,wmape,10,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340090080638899,11.083262459546344,6.3996611134738215,-46.309030577823265,48.69400551912527,34.1216977271418,1.5505500562664434,2.9446944417686596,375,"hour,source_ratio_bin,summer",wide,fine,21,mean,0.1,lowday,lowday,wmape,12,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.34009037542371,11.085507014194949,6.399661404560564,-49.9721566834272,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,23,"hour,source_ratio_bin,weekend",wide,coarse,8,median,-0.3,h78917,"7-9,17",wmape,20,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.34009037542371,11.085507014194949,6.399661404560564,-49.9721566834272,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,23,"hour,source_ratio_bin,weekend",wide,coarse,13,median,-0.3,h78917,"7-9,17",wmape,20,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.34009037542371,11.085507014194949,6.399661404560564,-49.9721566834272,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,23,"hour,source_ratio_bin,weekend",wide,coarse,21,median,-0.3,h78917,"7-9,17",wmape,20,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.34009037542371,11.085507014194949,6.399661404560564,-49.9721566834272,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,23,"hour,source_ratio_bin,weekend",wide,coarse,34,median,-0.3,h78917,"7-9,17",wmape,20,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.340100398419741,11.092295510726121,6.399671301818363,-48.87199238750196,48.94653105442625,34.29362734952212,1.5505500562664434,2.9446944417686596,55,"hour,source_ratio_bin,weekend",wide,coarse,2,mean,-0.2,h789111718,"7-9,11,17,18",wmape,35,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.340100398419741,11.092295510726121,6.399671301818363,-48.87199238750196,48.94653105442625,34.29362734952212,1.5505500562664434,2.9446944417686596,55,"hour,source_ratio_bin,weekend",wide,coarse,2,median,-0.2,h789111718,"7-9,11,17,18",wmape,35,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.05,0.1,0.2,0.5,0.85,0.98,1.01"
6.340119132885255,11.100173926024382,6.399689801260483,-47.37933627864619,48.831742451586166,34.49794855044575,1.5505500562664434,2.9446944417686596,136,"hour,source_bin,weekend",wide,default,34,mean,0.2,morning,morning,absbias,100,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340120144218854,11.136500672582834,6.399690799906929,-45.31844631730359,49.690554200523636,34.872051650825156,1.5505500562664434,2.9446944417686596,269,"hour,source_bin",wide,default,34,median,0.3,all,all,wmape,40,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.3401254401745,11.136596241559078,6.399696029424945,-45.322994057327115,49.69139774330748,34.87507815608603,1.5505500562664434,2.9446944417686596,269,"hour,source_bin",wide,default,21,median,0.3,all,all,wmape,40,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340128767384977,11.083262459546344,6.39969931489565,-46.312279283531076,48.70016756572564,34.1216977271418,1.5505500562664434,2.9446944417686596,375,"hour,source_ratio_bin,summer",wide,fine,34,mean,0.1,lowday,lowday,wmape,12,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.340129349873297,11.090985212042929,6.399699890076669,-47.601472798243684,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,20,"hour,source_bin,summer",wide,default,5,median,0.25,night,night,wmape,40,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340129349873297,11.090985212042929,6.399699890076669,-47.601472798243684,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,20,"hour,source_bin,summer",wide,default,8,median,0.25,night,night,wmape,40,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340129349873297,11.090985212042929,6.399699890076669,-47.601472798243684,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,20,"hour,source_bin,summer",wide,default,13,median,0.25,night,night,wmape,40,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340129349873297,11.090985212042929,6.399699890076669,-47.601472798243684,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,20,"hour,source_bin,summer",wide,default,21,median,0.25,night,night,wmape,40,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.340129349873297,11.090985212042929,6.399699890076669,-47.601472798243684,48.85662364643063,34.34662188394294,1.5505500562664434,2.9446944417686596,20,"hour,source_bin,summer",wide,default,34,median,0.25,night,night,wmape,40,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.01,0.03,0.05,0.07,0.1,0.2,0.45,0.75,0.9,0.98,1.01"
6.34013319240824,11.078513905191146,6.3997036844071085,-45.11781312343328,48.616232548793306,33.91163900102997,1.5505500562664434,2.9446944417686596,359,"hour,source_ratio_bin,summer",wide,fine,2,mean,0.12,lowday,lowday,wmape,12,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
6.34013319240824,11.078513905191146,6.3997036844071085,-45.11781312343328,48.616232548793306,33.91163900102997,1.5505500562664434,2.9446944417686596,359,"hour,source_ratio_bin,summer",wide,fine,2,median,0.12,lowday,lowday,wmape,12,"-1,100,500,1000,2000,4000,7000,10000,13000,1000000000","-0.01,0.005,0.01,0.02,0.03,0.05,0.08,0.12,0.2,0.35,0.55,0.75,0.9,0.98,1.01"
