kind,wmape_3m,wmape_14d,wmape_all,bias_3m,applied,rolling,stat,beta,hours,gate,thr,delta_3m,delta_14d,delta_all
day,6.325157513274525,11.074615881024835,6.384915874788259,-50.94396867575329,15,34,mean,0.5,19-23,absbias,250,-0.0032547298067244768,0.0,-0.003213899303858625
hour,6.325182126130674,11.069149861117596,6.384940178876754,-50.633692053479834,430,21,median,-0.2,11-15,wmape,10,-0.0032301169505757343,-0.005466019907238717,-0.003189595215363994
hour,6.325209583642476,11.074615881024835,6.384967291934765,-50.56099691799979,42,34,mean,-0.3,11-15,absbias,250,-0.003202659438773736,0.0,-0.0031624821573528195
hour,6.325209860507066,11.068346714854096,6.384967565326096,-50.46313026030726,119,8,median,-0.2,11-15,absbias,100,-0.0032023825741838152,-0.006269166170739027,-0.0031622087660219123
day,6.3252130136756515,11.074919509287124,6.384970678938264,-48.84748633206915,2208,8,mean,0.05,all,none,0,-0.0031992294055980253,0.00030362826228902406,-0.0031590951538538192
day,6.32521978871357,11.074615881024835,6.3849773689835025,-50.11773912775713,20,8,mean,0.2,19-23,absbias,250,-0.0031924543676797867,0.0,-0.0031524051086151417
hour,6.325232644352578,11.068217616605317,6.3849900633488454,-50.82235118211376,391,21,median,-0.3,10-16,wmape,15,-0.003179598728671351,-0.006398264419518185,-0.0031397107432722393
hour,6.325232644352578,11.068217616605317,6.3849900633488454,-50.82235118211376,391,21,median,-0.3,10-18,wmape,15,-0.003179598728671351,-0.006398264419518185,-0.0031397107432722393
hour,6.325259235274385,11.06813298100734,6.385016320688212,-50.59454367809893,480,5,median,-0.1,10-16,wmape,10,-0.0031530078068646716,-0.006482900017495297,-0.003113453403905453
day,6.325321787302491,11.075374331306481,6.385078088002713,-49.10589879469347,1104,21,mean,0.1,7-18,none,0,-0.0030904557787581055,0.0007584502816460059,-0.0030516860894049813
hour,6.3253265798735345,11.068412339055216,6.385082820451076,-50.41309086334477,305,13,median,-0.3,11-15,wmape,20,-0.0030856632077149726,-0.006203541969618698,-0.003046953641042016
hour,6.325338709024461,11.07609577223945,6.38509479744211,-48.30627070312913,593,34,mean,0.05,10-18,wmape,10,-0.0030735340567886738,0.0014798912146147813,-0.003034976650007515
hour,6.325372214831486,11.074888572492947,6.385127882919635,-48.159589307873134,589,55,mean,0.05,10-18,wmape,10,-0.003040028249763793,0.0002726914681119297,-0.003001891172482729
hour,6.325377015072971,11.074615881024835,6.385132622942214,-49.788558212350324,27,21,median,-0.2,10-16,absbias,250,-0.003035228008278601,0.0,-0.002997151149903843
hour,6.325377015072971,11.074615881024835,6.385132622942214,-49.788558212350324,27,34,median,-0.2,10-16,absbias,250,-0.003035228008278601,0.0,-0.002997151149903843
hour,6.325377015072971,11.074615881024835,6.385132622942214,-49.788558212350324,27,55,median,-0.2,10-16,absbias,250,-0.003035228008278601,0.0,-0.002997151149903843
day,6.325398626759317,11.052159998685054,6.385153963510504,-51.315462631957615,96,5,mean,0.3,all,wmape,12,-0.003013616321932311,-0.022455882339780686,-0.0029758105816135583
hour,6.325407077208273,11.074615881024835,6.38516230794879,-49.590339179526126,7,8,median,-0.3,11-15,absbias,500,-0.0030051658729766118,0.0,-0.002967466143327435
hour,6.325407077208273,11.074615881024835,6.38516230794879,-49.590339179526126,6,13,median,-0.3,11-15,absbias,500,-0.0030051658729766118,0.0,-0.002967466143327435
hour,6.325407077208273,11.074615881024835,6.38516230794879,-49.590339179526126,6,21,median,-0.3,11-15,absbias,500,-0.0030051658729766118,0.0,-0.002967466143327435
hour,6.325407077208273,11.074615881024835,6.38516230794879,-49.590339179526126,6,34,median,-0.3,11-15,absbias,500,-0.0030051658729766118,0.0,-0.002967466143327435
hour,6.325407077208273,11.074615881024835,6.38516230794879,-49.590339179526126,6,55,median,-0.3,11-15,absbias,500,-0.0030051658729766118,0.0,-0.002967466143327435
day,6.325414568015499,11.082329096502406,6.38516970478403,-49.20850408890747,343,1,mean,0.05,10-16,absbias,100,-0.002997675065750549,0.007713215477570756,-0.002960069308088009
day,6.325443753258707,11.075911108418497,6.385198523899099,-48.94154577105302,1104,34,mean,0.1,7-18,none,0,-0.002968489822542608,0.0012952273936619463,-0.002931250193018542
