candidate,group_by,rolling,stat,thr,hours,distop,distthr,alpha,applied,wmape_3m,wmape_14d,wmape_all,bias_3m,delta_3m,delta_14d,delta_all
f_price_lag_24,hour_cr,55,mean,-250,19-23,le_abs,1000.0,1.0,38,6.298419991388084,11.035886677132849,6.358513774435676,-48.52134007250583,-0.017289048381682548,0.0,-0.01707215770827819
f_price_lag_24,hour_weekend,5,median,-100,night,ge_rel,0.1,0.05,58,6.298461780464678,11.087149538461299,6.358555039269365,-49.102726349882396,-0.01724725930508786,0.051262861328449816,-0.017030892874589476
f_price_lag_24,hour_cr,21,median,-500,night,none,0.0,0.1,210,6.298489328695417,10.9437569967477,6.358582241908245,-49.372421125957764,-0.017219711074349497,-0.09212968038514902,-0.017003690235709357
f_price_lag_24,hour_sr,13,mean,-500,19-23,ge_abs,1000.0,-0.3,16,6.29849766447186,10.96261388652482,6.358590473112584,-47.87588215695045,-0.017211375297906173,-0.07327279060802816,-0.016995459031369897
f_price_lag_24,hour_sr_weekend,8,median,100,peakerr,ge_rel,0.1,0.2,9,6.298506816960033,11.035886677132849,6.358599510783025,-48.19993016821823,-0.01720222280973349,0.0,-0.016986421360929427
f_price_lag_24,hour_sr_weekend,13,median,100,peakerr,ge_rel,0.1,0.2,9,6.298506816960033,11.035886677132849,6.358599510783025,-48.19993016821823,-0.01720222280973349,0.0,-0.016986421360929427
f_price_lag_24,hour_sr_weekend,21,median,100,peakerr,ge_rel,0.1,0.2,9,6.298506816960033,11.035886677132849,6.358599510783025,-48.19993016821823,-0.01720222280973349,0.0,-0.016986421360929427
f_price_lag_24,hour_sr_weekend,34,median,100,peakerr,ge_rel,0.1,0.2,9,6.298506816960033,11.035886677132849,6.358599510783025,-48.19993016821823,-0.01720222280973349,0.0,-0.016986421360929427
f_price_lag_24,hour_sr_weekend,55,median,100,peakerr,ge_rel,0.1,0.2,9,6.298506816960033,11.035886677132849,6.358599510783025,-48.19993016821823,-0.01720222280973349,0.0,-0.016986421360929427
f_price_lag_24,hour_sr_weekend,3,mean,100,night,ge_rel,0.05,0.2,13,6.298507288447495,10.903217442048883,6.35859997635569,-48.10168452911265,-0.017201751322271086,-0.13266923508396644,-0.016985955788263674
f_price_lag_24,hour,8,mean,0,peakerr,ge_abs,500.0,0.2,6,6.298608311511364,11.035886677132849,6.358699732087787,-50.96975887691884,-0.017100728258402143,0.0,-0.0168862000561667
f_price_lag_24,hour,8,mean,0,peakerr,none,0.0,0.2,16,6.298615728505527,11.035886677132849,6.358707056035944,-50.96951323505315,-0.017093311264239297,0.0,-0.01687887610801031
f_price_lag_24,hour_sr_weekend,8,median,100,all,ge_rel,0.1,0.2,11,6.298625961270608,11.035886677132849,6.358717160431247,-48.28725970375769,-0.0170830784991578,0.0,-0.01686877171270673
f_price_lag_24,hour_sr_weekend,13,median,100,all,ge_rel,0.1,0.2,11,6.298625961270608,11.035886677132849,6.358717160431247,-48.28725970375769,-0.0170830784991578,0.0,-0.01686877171270673
f_price_lag_24,hour_sr_weekend,21,median,100,all,ge_rel,0.1,0.2,11,6.298625961270608,11.035886677132849,6.358717160431247,-48.28725970375769,-0.0170830784991578,0.0,-0.01686877171270673
f_price_lag_24,hour_sr_weekend,34,median,100,all,ge_rel,0.1,0.2,11,6.298625961270608,11.035886677132849,6.358717160431247,-48.28725970375769,-0.0170830784991578,0.0,-0.01686877171270673
f_price_lag_24,hour_sr_weekend,55,median,100,all,ge_rel,0.1,0.2,11,6.298625961270608,11.035886677132849,6.358717160431247,-48.28725970375769,-0.0170830784991578,0.0,-0.01686877171270673
f_price_lag_24,hour_weekend,5,median,-250,night,ge_abs,500.0,0.05,114,6.298626087356873,11.065013485387047,6.358717284935763,-49.168583885154646,-0.017082952412892816,0.029126808254197556,-0.0168686472081907
f_price_lag_24,hour_cr,8,median,0,day,le_abs,2000.0,-0.2,100,6.298643108869681,11.043751600239021,6.3587340929141245,-47.7310731092121,-0.01706593090008557,0.007864923106172483,-0.01685183922982958
f_price_lag_24,hour_sr_weekend,5,mean,500,peakerr,ge_rel,0.1,0.2,6,6.298816073436381,11.035886677132849,6.358904887644723,-48.600175432928566,-0.016892966333385218,0.0,-0.016681044499231135
f_price_lag_24,hour_sr_weekend,5,median,500,peakerr,ge_rel,0.1,0.2,6,6.298816073436381,11.035886677132849,6.358904887644723,-48.600175432928566,-0.016892966333385218,0.0,-0.016681044499231135
f_price_lag_24,hour_sr_weekend,8,mean,500,peakerr,ge_rel,0.1,0.2,6,6.298816073436381,11.035886677132849,6.358904887644723,-48.600175432928566,-0.016892966333385218,0.0,-0.016681044499231135
