kind,wmape_3m,wmape_14d,wmape_all,bias_3m,low,summer_low,cap_spike,evening,applied,rolling,stat,beta,hours,gate,thr,group_by,delta_3m,delta_14d
group,6.31881880895653,11.099440551756084,6.37865668935515,-47.23001432803198,49.35086165072123,34.92003422148462,1.5505500562664434,2.9446944417686596,363,3,median,0.2,10-18,wmape,15,"hour,source_bin",-0.009593434124719913,0.024824670731248943
group,6.318871285945379,11.090077853312284,6.378708508021505,-47.593649170443136,49.80257983357456,35.66295236881653,1.5505500562664434,2.9446944417686596,302,8,median,0.2,10-16,wmape,20,"hour,source_bin,weekend",-0.009540957135870443,0.015461972287448944
group,6.318871285945379,11.090077853312284,6.378708508021505,-47.593649170443136,49.80257983357456,35.66295236881653,1.5505500562664434,2.9446944417686596,302,8,median,0.2,10-18,wmape,20,"hour,source_bin,weekend",-0.009540957135870443,0.015461972287448944
group,6.318975673180077,11.058617983100145,6.378811585720992,-49.38122616570996,48.79125372933702,34.427487739863764,1.56400526780333,2.942975304462801,2088,5,median,0.05,all,none,0,"hour,source_ratio_bin",-0.009436569901172476,-0.015997897924689752
group,6.3190004170894944,11.083845134487408,6.378836019218694,-47.864410413114136,48.916568389758666,34.65035023890226,1.5505500562664434,2.9446944417686596,625,2,mean,0.05,7-18,absbias,100,"hour,source_ratio_bin",-0.009411825991755052,0.009229253462573084
group,6.3190004170894944,11.083845134487408,6.378836019218694,-47.864410413114136,48.916568389758666,34.65035023890226,1.5505500562664434,2.9446944417686596,625,2,median,0.05,7-18,absbias,100,"hour,source_ratio_bin",-0.009411825991755052,0.009229253462573084
group,6.319134784511029,11.085158903527063,6.378968701004332,-47.872701214942566,48.88831616825022,34.66024262132423,1.5505500562664434,2.9446944417686596,1038,2,mean,0.05,7-18,none,0,"hour,source_ratio_bin",-0.009277458570220887,0.010543022502227828
group,6.319134784511029,11.085158903527063,6.378968701004332,-47.872701214942566,48.88831616825022,34.66024262132423,1.5505500562664434,2.9446944417686596,1038,2,median,0.05,7-18,none,0,"hour,source_ratio_bin",-0.009277458570220887,0.010543022502227828
group,6.319153957318585,11.086176011108876,6.378987633289506,-49.52783371055855,48.90669816429179,34.69871470816462,1.55633286562745,2.940406647490846,799,8,median,0.05,all,absbias,100,"hour,source_bin,weekend",-0.009258285762664187,0.011560130084040665
group,6.3191735686618244,11.09239741261521,6.379006998608941,-47.46542218702735,49.12778433841021,34.82036500829523,1.5505500562664434,2.9446944417686596,478,3,mean,0.1,7-18,wmape,15,"hour,source_ratio_bin",-0.009238674419425053,0.017781531590374655
group,6.319192560052062,11.083038001068065,6.37902575175267,-48.29250017641166,48.72831303413353,34.48158761538587,1.5505500562664434,2.9446944417686596,338,3,median,0.1,10-18,wmape,15,"hour,source_bin,weekend",-0.009219683029187742,0.008422120043229953
group,6.319269363422054,11.09302644695405,6.3791015916263305,-47.30050533432018,49.02143168383642,34.71045065684214,1.5505500562664434,2.9446944417686596,308,3,median,0.1,7-18,absbias,250,"hour,source_ratio_bin",-0.009142879659195913,0.01841056592921575
group,6.319286480709395,11.136876994125519,6.37911849417774,-48.14880573225685,48.99782487584919,34.81485953344308,1.5505500562664434,2.9446944417686596,443,2,mean,0.1,7-18,wmape,15,"hour,source_bin",-0.009125762371854584,0.06226111310068383
group,6.319286480709395,11.136876994125519,6.37911849417774,-48.14880573225685,48.99782487584919,34.81485953344308,1.5505500562664434,2.9446944417686596,443,2,median,0.1,7-18,wmape,15,"hour,source_bin",-0.009125762371854584,0.06226111310068383
group,6.319318050044574,11.08553146886793,6.379149667476408,-48.05036872650286,49.02387844226624,34.847106783844225,1.5505500562664434,2.9446944417686596,334,3,mean,0.1,10-16,wmape,20,"hour,source_bin",-0.00909419303667569,0.010915587843095764
group,6.319391012901727,11.088377126594711,6.379221715016368,-47.895018522377704,49.070369784046605,34.94619034007968,1.5505500562664434,2.9446944417686596,380,3,mean,0.1,10-16,wmape,15,"hour,source_bin",-0.009021230179522277,0.013761245569876124
group,6.31940254021171,11.103099117137186,6.37923309771654,-46.02086600042971,50.19046421386688,35.20000827695606,1.5505500562664434,2.9446944417686596,309,3,median,0.3,10-16,wmape,20,"hour,source_bin",-0.009009702869539282,0.028483236112350596
group,6.3194175642126424,11.08519201403698,6.379247933241763,-48.24890157539627,49.06545437301835,35.004190695254664,1.5505500562664434,2.9446944417686596,420,8,median,0.1,7-18,absbias,100,"hour,source_bin,weekend",-0.008994678868607053,0.010576133012145661
group,6.3194980156788265,11.087731848686193,6.379327375446345,-48.58439874794256,48.79033568714804,34.66443847326693,1.5505500562664434,2.9446944417686596,778,2,mean,0.05,10-18,none,0,"hour,source_bin",-0.00891422740242298,0.013115967661358141
group,6.3194980156788265,11.087731848686193,6.379327375446345,-48.58439874794256,48.79033568714804,34.66443847326693,1.5505500562664434,2.9446944417686596,778,2,median,0.05,10-18,none,0,"hour,source_bin",-0.00891422740242298,0.013115967661358141
group,6.319520766562678,11.092832917858198,6.379349840920935,-47.832127186739704,49.203926271532104,35.05820819473313,1.5505500562664434,2.9446944417686596,359,3,mean,0.1,10-16,wmape,15,"hour,source_bin,weekend",-0.008891476518571473,0.018217036833362954
group,6.319522988806043,11.103996636653083,6.379352035286313,-45.98962275647077,50.19046421386688,35.20000827695606,1.5505500562664434,2.9446944417686596,312,3,median,0.3,10-18,wmape,20,"hour,source_bin",-0.008889254275206149,0.029380755628247712
group,6.319526157996784,11.10168246627223,6.379355164719637,-47.53856767806364,49.42994433897842,35.229819593379844,1.5505500562664434,2.9446944417686596,600,8,mean,0.1,7-18,absbias,100,"hour,source_bin",-0.0088860850844652,0.027066585247395025
group,6.319526483303446,11.105201110858975,6.379355485945336,-47.05211308430562,49.76788777346463,35.65744209906981,1.5505500562664434,2.9446944417686596,778,8,median,0.2,10-18,none,0,"hour,source_bin",-0.008885759777803592,0.030585229834139582
group,6.319527306886447,11.083864703794347,6.379356299196508,-49.69521667547725,49.00068316168839,34.73437290810776,1.5569988235077379,2.934553361831463,862,8,median,0.05,all,absbias,100,"hour,source_bin",-0.008884936194802684,0.009248822769512444
group,6.319562098050908,11.105760518438652,6.379390653906694,-46.79877771830897,49.94693448159393,35.886477385300985,1.5505500562664434,2.9446944417686596,986,8,median,0.2,7-18,none,0,"hour,source_bin,weekend",-0.008850145030341316,0.031144637413817122
group,6.319563555273408,11.08711457789759,6.379392092848374,-48.57145127006746,48.835615051317546,34.66441075528978,1.5505500562664434,2.9446944417686596,441,2,mean,0.05,10-18,absbias,100,"hour,source_bin",-0.008848687807841316,0.012498696872755843
group,6.319563555273408,11.08711457789759,6.379392092848374,-48.57145127006746,48.835615051317546,34.66441075528978,1.5505500562664434,2.9446944417686596,441,2,median,0.05,10-18,absbias,100,"hour,source_bin",-0.008848687807841316,0.012498696872755843
group,6.3196134373871855,11.107789408216469,6.3794413491923,-49.22115930413281,48.97995042020911,34.83198547181564,1.5653661200809406,2.9412067071872627,2001,8,mean,0.05,all,none,0,"hour,source_bin,weekend",-0.008798805694063994,0.03317352719163402
group,6.319615554167887,11.099348772713546,6.379443439418042,-46.35387908396581,50.00895118933566,35.37303633856704,1.5505500562664434,2.9446944417686596,334,3,mean,0.2,10-16,wmape,20,"hour,source_bin",-0.00879668891336216,0.024732891688710623
