3m,14d,all,bias3,low,summer,cap,eve,applied,rolling_days,beta,hours_name,hours,gate,th
6.450801726767595,11.26107961327712,6.508983884810088,-48.70029880960901,50.4815688956654,36.11177268631748,1.558266052465585,2.991853148327597,81,5,-0.1,day,10-18,absbias,250
6.450834428420572,11.275464919998921,6.509016176221656,-47.78949181506872,50.967428942796936,36.48063902505175,1.558266052465585,2.991853148327597,49,14,-0.3,nooneve,"11-15,17-18",wmape,10
6.4508900579279205,11.275879441802033,6.5090711078582455,-47.81797375698536,50.935506609341296,36.3262131873835,1.558266052465585,2.991853148327597,84,7,-0.3,nooneve,"11-15,17-18",wmape,10
6.450957116832506,11.27841378269302,6.509137325510575,-48.41925838620347,50.613172765132184,36.422085732944645,1.558266052465585,2.991853148327597,210,7,-0.15,nooneve,"11-15,17-18",absbias,100
6.450970338207078,11.274869249164144,6.509150381023337,-47.79370479779134,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,8,3,0.5,morning,7-10,absbias,500
6.450970338207078,11.274869249164144,6.509150381023337,-47.54240799552395,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,8,3,1.0,morning,7-10,absbias,500
6.450990838452229,11.266657083882595,6.509170624093434,-47.767550602066294,50.81628128700775,36.18627336341989,1.5648736194068467,2.9923025632941287,156,7,-0.2,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",wmape,10
6.450997903141251,11.27668304755762,6.50917760015611,-47.794133363650786,50.95520588545147,36.45725971599647,1.558266052465585,2.991853148327597,14,21,-0.3,nooneve,"11-15,17-18",wmape,10
6.4510279173043745,11.253095825176839,6.509207237792321,-48.10629550985722,50.263183924617834,36.05336160210117,1.558266052465585,2.991853148327597,153,7,-0.2,day,10-18,absbias,150
6.4510292215231075,11.274869249164144,6.509208525649663,-47.9916129394998,50.610043859875184,36.43811308984296,1.558266052465585,2.991853148327597,27,7,-0.3,day,10-18,absbias,250
6.451032126388107,11.274869249164144,6.509211394073204,-48.01481913490789,50.71652353959665,36.43811308984296,1.558266052465585,2.991853148327597,77,14,-0.15,nooneve,"11-15,17-18",absbias,150
6.451040870470259,11.283152838055397,6.509220028461067,-48.06604602667317,50.794397985573966,36.47611757274732,1.558266052465585,2.991853148327597,133,7,-0.2,nooneve,"11-15,17-18",wmape,8
6.451086837563624,11.274869249164144,6.509265418898412,-48.377604855526144,50.95520588545147,36.43811308984296,1.5606977252912502,2.9835371003800866,55,14,0.2,evening,19-23,absbias,150
6.451107139118166,11.273521893557398,6.509285465770466,-47.43782824201458,50.962020819351906,36.49620183539146,1.558927524885425,2.9919177526496856,91,14,-0.3,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",wmape,10
6.451119308972728,11.274270318787526,6.509297482954511,-48.101699096370595,50.971229648331715,36.336471270933195,1.558266052465585,2.991853148327597,96,3,0.2,morning,7-10,wmape,8
6.45113480918575,11.274869249164144,6.509312788717754,-48.86463006285323,50.95520588545147,36.43811308984296,1.558266052465585,2.9953991062525263,8,2,-0.2,night,"0-6,23",absbias,700
6.451142641075116,11.27349272059352,6.509320522356267,-48.111592401374345,50.96520494342801,36.361881725660645,1.558266052465585,2.991853148327597,96,3,0.15,morning,7-10,wmape,8
6.451143627495131,11.274869249164144,6.509321496401668,-47.844913264447264,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,10,3,0.2,h78901117,"7-9,11,17",absbias,500
6.451146339892853,11.250797227567762,6.509324174772431,-48.61309647086197,50.84411594627637,36.27353249875927,1.558266052465585,2.991853148327597,13,3,0.3,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",wmape,15
6.451227966871681,11.274869249164144,6.509404777742879,-48.4484795795611,50.95520588545147,36.43811308984296,1.5689710671244694,2.983893828503373,55,14,0.3,evening,19-23,absbias,150
6.451261199434255,11.274869249164144,6.509437593403798,-47.45192109375056,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,35,21,-0.2,nooneve,"11-15,17-18",absbias,150
6.451267904259759,11.271764673436868,6.509444214117438,-48.15517125980666,50.70350237159299,36.37912314264013,1.558266052465585,2.991853148327597,119,14,-0.1,nooneve,"11-15,17-18",absbias,100
6.451283640051934,11.281087669654424,6.509459752504497,-47.389597139397594,51.095880366334114,36.656122153306335,1.558266052465585,2.991853148327597,84,14,-0.3,nooneve,"11-15,17-18",wmape,8
6.451287956455311,11.274869249164144,6.509464014758704,-47.38630635115934,50.95520588545147,36.43811308984296,1.558266052465585,2.9918531483275967,13,7,-0.3,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",absbias,300
6.451287956455311,11.274869249164144,6.509464014758704,-47.38630635115934,50.95520588545147,36.43811308984296,1.558266052465585,2.9918531483275967,13,10,-0.3,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",absbias,250
6.451287956455311,11.274869249164144,6.509464014758704,-47.38630635115934,50.95520588545147,36.43811308984296,1.558266052465585,2.9918531483275967,13,10,-0.3,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",absbias,300
6.451287956455311,11.274869249164144,6.509464014758704,-47.38630635115934,50.95520588545147,36.43811308984296,1.558266052465585,2.9918531483275967,13,14,-0.3,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",absbias,250
6.451287956455311,11.274869249164144,6.509464014758704,-47.38630635115934,50.95520588545147,36.43811308984296,1.558266052465585,2.9918531483275967,13,14,-0.3,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",absbias,300
6.451287956455311,11.274869249164144,6.509464014758704,-47.38630635115934,50.95520588545147,36.43811308984296,1.558266052465585,2.9918531483275967,13,21,-0.3,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",absbias,250
6.451287956455311,11.274869249164144,6.509464014758704,-47.38630635115934,50.95520588545147,36.43811308984296,1.558266052465585,2.9918531483275967,13,21,-0.3,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",absbias,300
6.451307683288683,11.285532835361515,6.5094834941194515,-47.71329303580801,51.23225526215271,36.79059417530391,1.558266052465585,2.991853148327597,105,10,-0.3,nooneve,"11-15,17-18",wmape,8
6.4513122005965124,11.265529080475362,6.509487954757769,-47.88210249487866,50.80828051219996,36.18410651030435,1.5632217276715314,2.9919689052650926,156,7,-0.15,peakerr,"0,7,8,9,11,12,13,14,15,16,17,21,22",wmape,10
6.4513248502046,11.284113367871877,6.509500445676844,-48.297237351015646,50.73950185471126,36.59561817227354,1.558266052465585,2.991853148327597,91,10,-0.2,nooneve,"11-15,17-18",absbias,150
6.4513347674237815,11.274869249164144,6.509510238484763,-47.914641123204134,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,8,3,0.3,morning,7-10,absbias,500
6.451358994495994,11.274869249164144,6.509534161628968,-48.064049572093694,50.89756815780628,36.43811308984296,1.558266052465585,2.991853148327597,112,21,-0.15,nooneve,"11-15,17-18",absbias,100
6.451378185772367,11.275825515175537,6.5095531121512655,-48.09903080482528,50.98327905813913,36.28565036147832,1.558266052465585,2.991853148327597,96,3,0.3,morning,7-10,wmape,8
6.45138529887869,11.28577930726302,6.50956013602385,-47.93885307737816,50.572828891111,36.54104286308151,1.558266052465585,2.991853148327597,171,7,-0.3,day,10-18,wmape,8
6.451426012409868,11.274869249164144,6.509600338804813,-47.913183505303046,50.95520588545147,36.43811308984296,1.558266052465585,2.991853148327597,10,3,0.15,h78901117,"7-9,11,17",absbias,500
6.451446455198434,11.27670072712469,6.509620525139114,-48.04701119604012,50.63017430085498,36.370113987873104,1.558266052465585,2.991853148327597,171,7,-0.2,day,10-18,wmape,8
6.451446631289115,11.274869249164144,6.509620699020742,-48.5560248376513,50.631176859432614,36.43811308984296,1.558266052465585,2.991853148327597,35,5,-0.15,nooneve,"11-15,17-18",absbias,300
6.451491018126138,11.271360183322503,6.50966452902602,-47.96194030455267,50.87298902203163,36.261164663857315,1.558266052465585,2.991853148327597,84,7,-0.2,nooneve,"11-15,17-18",wmape,10
6.451495064219151,11.274869249164144,6.509668524360899,-48.970145207008976,50.52654941030422,36.43811308984296,1.558266052465585,2.991853148327597,14,3,-0.2,nooneve,"11-15,17-18",absbias,500
6.451497739358912,11.270212385573233,6.509671165941102,-48.0969276780014,50.46538273761968,36.34962816903871,1.558266052465585,2.991853148327597,153,14,-0.15,day,10-18,absbias,100
6.451533981328056,11.267755867346514,6.509706953255659,-48.859485104703026,50.72492373055929,36.43811308984296,1.558266052465585,2.991853148327597,35,2,-0.1,nooneve,"11-15,17-18",absbias,500
