kind,hours,gate,threshold,beta,applied,wmape_3m,wmape_14d,wmape_all,rolling,stat
daybias,midday,absbias,400,0.08,54,6.005683721701489,10.325064491685893,6.06894870627577,1,mean
hourbias,evening,absbias,50,0.08,305,6.005689648352274,10.32419571031428,6.068954558576873,2,mean
hourbias,evening,absbias,50,0.08,305,6.005689648352274,10.32419571031428,6.068954558576873,2,median
hourbias,evening,none,0,0.08,460,6.005702990084252,10.32445731811399,6.068967732937162,2,mean
hourbias,evening,none,0,0.08,460,6.005702990084252,10.32445731811399,6.068967732937162,2,median
hourbias,evening,absbias,50,0.1,305,6.005710352712794,10.329594669518855,6.068975003201714,2,mean
hourbias,evening,absbias,50,0.1,305,6.005710352712794,10.329594669518855,6.068975003201714,2,median
hourbias,all,wmape,30,0.05,284,6.005711001483625,10.305521399628455,6.068975643833732,3,median
hourbias,all,wmape,8,0.02,1036,6.005727377888022,10.319467588305546,6.0689918147965525,3,mean
hourbias,nooneve,wmape,30,0.05,198,6.005730198640494,10.304637730428098,6.068994600162755,3,median
hourbias,evening,none,0,0.08,460,6.005737141053817,10.314912085742735,6.069001455483679,13,mean
hourbias,11-15,wmape,12,0.2,424,6.00574149128289,10.324472257277213,6.069005751139239,34,median
hourbias,evening,absbias,500,0.08,44,6.00574724772592,10.297022904433126,6.0690114353678375,3,median
hourbias,evening,none,0,0.1,460,6.005749491795201,10.32995178331343,6.069013651285326,2,mean
hourbias,evening,none,0,0.1,460,6.005749491795201,10.32995178331343,6.069013651285326,2,median
hourbias,all,none,0,0.02,2208,6.005753267313361,10.324283572943648,6.069017379439706,3,mean
daybias,peakerr,absbias,50,0.15,364,6.005757916781304,10.32575756376352,6.069021970580192,30,mean
hourbias,nooneve,absbias,400,0.05,294,6.005758791628173,10.325052230506827,6.069022834452128,3,mean
hourbias,evening,none,0,0.2,460,6.005776426050955,10.313713547361235,6.069040247651525,13,median
hourbias,day,wmape,12,0.3,457,6.005780265802361,10.329010532290345,6.069044039233348,21,median
hourbias,lowday,wmape,12,0.3,457,6.005780265802361,10.329010532290345,6.069044039233348,21,median
hourbias,10-16,wmape,12,0.3,457,6.005780265802361,10.329010532290345,6.069044039233348,21,median
hourbias,all,absbias,250,0.03,581,6.005782479484935,10.318718720773976,6.069046225145329,5,mean
hourbias,night,wmape,10,0.08,222,6.005787517315488,10.324462758379207,6.0690511997764265,3,mean
hourbias,nooneve,absbias,400,0.02,294,6.005790301461732,10.31756848076123,6.069053948995625,3,mean
hourbias,nooneve,absbias,700,0.08,113,6.005790423655069,10.331197313588435,6.069054069656051,3,mean
hourbias,nooneve,absbias,250,0.03,434,6.005792868577582,10.321793892818901,6.069056483907072,5,mean
daybias,lowday,wmape,10,0.2,91,6.005795766494894,10.317164327907923,6.069059345470085,3,mean
daybias,10-16,wmape,10,0.2,91,6.005795766494894,10.317164327907923,6.069059345470085,3,mean
