wmape_3m,wmape_14d,wmape_all,mode,window,stat,hours,gate,threshold,alpha,applied,delta_3m,delta_14d
7.068432292577426,13.072272853894356,7.120892185821949,daily,1,mean,peakerr,adv,1,0.15,13,-0.007267379304392918,-0.05415268472978063
7.068432292577426,13.072272853894356,7.120892185821949,daily,1,mean,peakerr,adv,2,0.15,13,-0.007267379304392918,-0.05415268472978063
7.068432292577426,13.072272853894356,7.120892185821949,daily,1,mean,peakerr,adv,3,0.15,13,-0.007267379304392918,-0.05415268472978063
7.06872355161621,13.074443162920673,7.121179791023479,daily,1,mean,day,adv,1,0.15,8,-0.006976120265608898,-0.051982375703463646
7.06872355161621,13.074443162920673,7.121179791023479,daily,1,mean,day,adv,2,0.15,8,-0.006976120265608898,-0.051982375703463646
7.06872355161621,13.074443162920673,7.121179791023479,daily,1,mean,day,adv,3,0.15,8,-0.006976120265608898,-0.051982375703463646
7.06876275664335,13.074735298143784,7.121218504224548,daily,1,mean,night,adv,-2,0.3,16,-0.006936915238468622,-0.051690240480352756
7.06876275664335,13.074735298143784,7.121218504224548,daily,1,mean,night,adv,0,0.3,16,-0.006936915238468622,-0.051690240480352756
7.069030630225134,13.076731351055598,7.121483017339044,daily,1,mean,all,adv,1,1.0,24,-0.006669041656684804,-0.04969418756853905
7.069030630225134,13.076731351055598,7.121483017339044,daily,1,mean,all,adv,2,1.0,24,-0.006669041656684804,-0.04969418756853905
7.069030630225134,13.076731351055598,7.121483017339044,daily,1,mean,all,adv,3,1.0,24,-0.006669041656684804,-0.04969418756853905
7.069049183581988,13.076869600903626,7.121501337944508,daily,1,mean,all,adv,1,0.3,24,-0.006650488299830393,-0.04955593772051081
7.069049183581988,13.076869600903626,7.121501337944508,daily,1,mean,all,adv,2,0.3,24,-0.006650488299830393,-0.04955593772051081
7.069049183581988,13.076869600903626,7.121501337944508,daily,1,mean,all,adv,3,0.3,24,-0.006650488299830393,-0.04955593772051081
7.069840221385842,13.082763998183205,7.122282452199177,daily,2,mean,night,adv,-2,0.15,8,-0.005859450495976581,-0.04366154044093129
7.069840221385842,13.082763998183205,7.122282452199177,daily,2,mean,night,adv,0,0.15,8,-0.005859450495976581,-0.04366154044093129
7.069840221385842,13.082763998183205,7.122282452199177,daily,2,mean,night,adv,1,0.15,8,-0.005859450495976581,-0.04366154044093129
7.069840221385842,13.082763998183205,7.122282452199177,daily,2,mean,night,adv,2,0.15,8,-0.005859450495976581,-0.04366154044093129
7.0705293589504805,13.087899088524606,7.122962944550548,daily,1,mean,peakerr,adv,1,0.1,13,-0.0051703129313382945,-0.03852645009953015
7.0705293589504805,13.087899088524606,7.122962944550548,daily,1,mean,peakerr,adv,2,0.1,13,-0.0051703129313382945,-0.03852645009953015
7.0705293589504805,13.087899088524606,7.122962944550548,daily,1,mean,peakerr,adv,3,0.1,13,-0.0051703129313382945,-0.03852645009953015
7.070910239726108,13.090737211553316,7.123339047186507,daily,1,mean,all,adv,1,0.2,24,-0.0047894321557109265,-0.03568832707082059
7.070910239726108,13.090737211553316,7.123339047186507,daily,1,mean,all,adv,2,0.2,24,-0.0047894321557109265,-0.03568832707082059
7.070910239726108,13.090737211553316,7.123339047186507,daily,1,mean,all,adv,3,0.2,24,-0.0047894321557109265,-0.03568832707082059
