candidate,signal,op,threshold,hours,alpha,applied,wmape_3m,wmape_14d,wmape_all,rolling,stat
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,day,0.1,60,6.079901810864078,10.594881102116926,6.1427368989435225,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,lowday,0.1,60,6.079901810864078,10.594881102116926,6.1427368989435225,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,midday,0.1,60,6.079901810864078,10.594881102116926,6.1427368989435225,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,11-15,0.1,60,6.079901810864078,10.594881102116926,6.1427368989435225,5,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-100.0,10-16,0.1,60,6.079901810864078,10.594881102116926,6.1427368989435225,5,mean
f_price_lag_24,daily_adv_wmape,ge,-50.0,midday,0.05,534,6.07991313740754,10.674887840429644,6.142748083395784,2,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-250.0,11-15,0.08,128,6.0799416848255605,10.607630997539108,6.14277627268717,2,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-250.0,11-15,0.08,128,6.0799416848255605,10.607630997539108,6.14277627268717,2,median
f_price_lag_48,hour_adv_abs,ge,-250.0,12-13,0.08,37,6.079947115496847,10.593971827027808,6.142781635230824,13,median
f_price_lag_24,daily_adv_wmape,ge,-50.0,midday,0.02,540,6.0800335031726345,10.613333047893583,6.142866939175408,3,mean
f_price_lag_24,profile_abs,le,2000.0,lowday,0.02,497,6.080039872511887,10.602557026692418,6.142873228611462,0,none
f_price_lag_24,profile_abs,le,2000.0,10-16,0.02,497,6.080039872511887,10.602557026692418,6.142873228611462,0,none
f_price_lag_48,hour_adv_abs,ge,0.0,peakerr,0.08,48,6.080107619888557,10.593971827027808,6.1429401260990115,21,median
f_price_lag_48,hour_adv_abs,ge,0.0,"0,7-9,11-17,21-22",0.08,48,6.080107619888557,10.593971827027808,6.1429401260990115,21,median
f_rolling_mean_hour_3d,profile_abs,le,2000.0,peakerr,0.02,962,6.0802331249399,10.668073839846008,6.143064056692666,0,none
f_rolling_mean_hour_3d,profile_abs,le,2000.0,"0,7-9,11-17,21-22",0.02,962,6.0802331249399,10.668073839846008,6.143064056692666,0,none
f_rolling_mean_hour_7d,absdiff,le,1500.0,night,-0.1,493,6.080329853180187,10.597653940967932,6.1422193979791295,0,none
f_rolling_mean_hour_7d,hour_adv_abs,ge,-50.0,11-15,0.1,70,6.080409839915248,10.602366656174055,6.1432385547831325,2,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-50.0,11-15,0.1,70,6.080409839915248,10.602366656174055,6.1432385547831325,2,median
f_price_lag_168,hour_adv_abs,ge,0.0,midday,0.05,43,6.080443996219713,10.601393644546448,6.143272282597624,2,mean
f_price_lag_168,hour_adv_abs,ge,0.0,midday,0.05,43,6.080443996219713,10.601393644546448,6.143272282597624,2,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,50.0,day,0.15,4,6.08053200205586,10.593971827027808,6.143359184402789,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,50.0,lowday,0.15,4,6.08053200205586,10.593971827027808,6.143359184402789,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,50.0,midday,0.15,4,6.08053200205586,10.593971827027808,6.143359184402789,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,50.0,11-15,0.15,4,6.08053200205586,10.593971827027808,6.143359184402789,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,50.0,10-16,0.15,4,6.08053200205586,10.593971827027808,6.143359184402789,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,100.0,day,0.15,4,6.08053200205586,10.593971827027808,6.143359184402789,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,100.0,lowday,0.15,4,6.08053200205586,10.593971827027808,6.143359184402789,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,100.0,midday,0.15,4,6.08053200205586,10.593971827027808,6.143359184402789,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,100.0,11-15,0.15,4,6.08053200205586,10.593971827027808,6.143359184402789,5,median
f_rolling_mean_hour_14d,hour_adv_abs,ge,100.0,10-16,0.15,4,6.08053200205586,10.593971827027808,6.143359184402789,5,median
f_price_lag_24,profile_abs,le,2000.0,day,0.03,568,6.080615711219961,10.616482592605532,6.143441843437548,0,none
f_price_lag_48,profile_abs,ge,1500.0,night,-0.03,480,6.080656093228364,10.591351592093583,6.144298228792009,0,none
f_rolling_mean_hour_7d,hour_adv_abs,ge,-100.0,11-15,0.1,92,6.080673652911357,10.608495908860846,6.143499058251897,2,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-100.0,11-15,0.1,92,6.080673652911357,10.608495908860846,6.143499058251897,2,median
f_rolling_mean_hour_3d,profile_abs,le,2000.0,11-15,0.02,370,6.080686794497934,10.620744219531565,6.143512034977603,0,none
f_rolling_mean_hour_3d,daily_adv_wmape,le,-50.0,evening,-0.15,15,6.080746334220504,10.467951446659676,6.143570827775863,2,mean
f_rolling_mean_hour_3d,daily_adv_wmape,le,-50.0,19-23,-0.15,15,6.080746334220504,10.467951446659676,6.143570827775863,2,mean
f_price_lag_24,ratio,le,0.02,all,1.0,350,6.080758930753242,10.605648287457951,6.143583266285417,0,none
f_price_lag_48,hour_adv_abs,ge,-250.0,12-13,0.1,39,6.080804207204738,10.593971827027808,6.143627974744979,21,median
f_price_lag_24,daily_adv_wmape,ge,-50.0,midday,0.03,504,6.080818440787549,10.635570850907266,6.143642029767854,1,mean
f_price_lag_24,profile_abs,le,2000.0,11-15,0.03,355,6.0808313593296885,10.614509978892796,6.143654786247211,0,none
f_price_lag_48,hour_adv_abs,ge,-250.0,12-13,0.1,37,6.080879825968576,10.593971827027808,6.1437026448733425,13,median
f_price_lag_48,hour_adv_abs,ge,-500.0,12-13,0.05,50,6.080937210076299,10.595549724661575,6.143759309098888,21,median
f_rolling_mean_hour_3d,hour_adv_abs,ge,-250.0,day,0.1,59,6.080970820013857,10.601229009140969,6.143792497400632,8,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-250.0,lowday,0.1,59,6.080970820013857,10.601229009140969,6.143792497400632,8,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-250.0,midday,0.1,59,6.080970820013857,10.601229009140969,6.143792497400632,8,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-250.0,11-15,0.1,59,6.080970820013857,10.601229009140969,6.143792497400632,8,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-250.0,10-16,0.1,59,6.080970820013857,10.601229009140969,6.143792497400632,8,mean
f_rolling_mean_hour_14d,hour_adv_abs,ge,-50.0,midday,0.15,40,6.080975306857547,10.62300612899185,6.143796927956982,2,mean
f_rolling_mean_hour_14d,hour_adv_abs,ge,-50.0,midday,0.15,40,6.080975306857547,10.62300612899185,6.143796927956982,2,median
f_rolling_mean_hour_7d,hour_adv_abs,ge,-50.0,lowday,0.1,72,6.080988515206951,10.615085360775053,6.14380997060798,2,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-50.0,10-16,0.1,72,6.080988515206951,10.615085360775053,6.14380997060798,2,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-50.0,lowday,0.1,72,6.080988515206951,10.615085360775053,6.14380997060798,2,median
f_rolling_mean_hour_7d,hour_adv_abs,ge,-50.0,10-16,0.1,72,6.080988515206951,10.615085360775053,6.14380997060798,2,median
f_rolling_mean_hour_7d,absdiff,ge,5000.0,night,-0.1,20,6.081112858458192,10.558295711970576,6.143932753976286,0,none
f_price_lag_168,hour_adv_abs,ge,0.0,day,0.05,50,6.081156475659437,10.598831422466175,6.14397582400085,2,mean
f_price_lag_168,hour_adv_abs,ge,0.0,day,0.05,50,6.081156475659437,10.598831422466175,6.14397582400085,2,median
f_rolling_mean_hour_7d,absdiff,le,1000.0,morning,-0.08,156,6.081210275564746,10.594139702706979,6.143761659627107,0,none
f_price_lag_48,hour_adv_abs,ge,-250.0,day,0.1,60,6.0812399615503105,10.593971827027808,6.144058262563339,8,mean
f_price_lag_48,hour_adv_abs,ge,-250.0,lowday,0.1,60,6.0812399615503105,10.593971827027808,6.144058262563339,8,mean
f_price_lag_48,hour_adv_abs,ge,-250.0,midday,0.1,60,6.0812399615503105,10.593971827027808,6.144058262563339,8,mean
f_price_lag_48,hour_adv_abs,ge,-250.0,11-15,0.1,60,6.0812399615503105,10.593971827027808,6.144058262563339,8,mean
f_price_lag_48,hour_adv_abs,ge,-250.0,10-16,0.1,60,6.0812399615503105,10.593971827027808,6.144058262563339,8,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-50.0,11-15,0.15,70,6.0812926255473165,10.612432373495356,6.144110265891838,2,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-50.0,11-15,0.15,70,6.0812926255473165,10.612432373495356,6.144110265891838,2,median
f_price_lag_168,hour_adv_abs,ge,0.0,midday,0.1,43,6.081362685479416,10.608815462065088,6.144179446923865,2,mean
f_price_lag_168,hour_adv_abs,ge,0.0,midday,0.1,43,6.081362685479416,10.608815462065088,6.144179446923865,2,median
f_rolling_mean_hour_7d,hour_adv_abs,ge,-100.0,midday,0.15,94,6.081370213441298,10.621626252525543,6.1441868804476565,2,mean
f_rolling_mean_hour_7d,hour_adv_abs,ge,-100.0,midday,0.15,94,6.081370213441298,10.621626252525543,6.1441868804476565,2,median
f_rolling_mean_hour_3d,ratio,le,0.075,lowday,0.8,56,6.081389352770407,10.58093787599651,6.144189282916896,0,none
f_rolling_mean_hour_3d,ratio,le,0.075,10-16,0.8,56,6.081389352770407,10.58093787599651,6.144189282916896,0,none
f_price_lag_168,hour_adv_abs,ge,-50.0,midday,0.05,90,6.081432393766666,10.593971827027808,6.1442482807224215,3,median
f_price_lag_24,daily_adv_wmape,ge,0.0,midday,1.0,6,6.0814375564310525,10.499313050543167,6.144253378621315,1,mean
f_price_lag_24,daily_adv_wmape,ge,0.0,lowday,1.0,7,6.0814375564310525,10.499313050543167,6.144253378621315,1,mean
f_price_lag_24,daily_adv_wmape,ge,0.0,10-16,1.0,7,6.0814375564310525,10.499313050543167,6.144253378621315,1,mean
f_price_lag_24,daily_adv_wmape,ge,-50.0,midday,0.02,504,6.081453947977961,10.6151586181509,6.144269564536683,1,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-250.0,day,0.15,59,6.081473304641058,10.605459681096306,6.144288678370933,8,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-250.0,lowday,0.15,59,6.081473304641058,10.605459681096306,6.144288678370933,8,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-250.0,midday,0.15,59,6.081473304641058,10.605459681096306,6.144288678370933,8,mean
f_rolling_mean_hour_3d,hour_adv_abs,ge,-250.0,11-15,0.15,59,6.081473304641058,10.605459681096306,6.144288678370933,8,mean
