kind,hours,gate,threshold,beta,applied,wmape_3m,wmape_14d,wmape_all,rolling,stat
hourbias,night,absbias,150,0.05,413,6.015978195580702,10.36737860844046,6.079114036241295,1,mean
hourbias,night,absbias,150,0.05,413,6.015978195580702,10.36737860844046,6.079114036241295,1,median
hourbias,night,wmape,10,0.2,239,6.015986309936845,10.356215585147542,6.079122048803043,5,mean
hourbias,12-13,wmape,40,-0.3,91,6.015994526865633,10.33740301126236,6.079130162650669,2,mean
hourbias,12-13,wmape,40,-0.3,91,6.015994526865633,10.33740301126236,6.079130162650669,2,median
hourbias,12-13,wmape,25,-0.15,113,6.016019846128533,10.319175141906946,6.079155164284058,2,mean
hourbias,12-13,wmape,25,-0.15,113,6.016019846128533,10.319175141906946,6.079155164284058,2,median
hourbias,12-13,wmape,30,-0.2,113,6.0160221478521025,10.3264463465245,6.079157437132564,3,mean
hourbias,lowday,wmape,25,-0.15,335,6.016067577713112,10.330259755046109,6.07920229707712,2,mean
hourbias,10-16,wmape,25,-0.15,335,6.016067577713112,10.330259755046109,6.07920229707712,2,mean
hourbias,lowday,wmape,25,-0.15,335,6.016067577713112,10.330259755046109,6.07920229707712,2,median
hourbias,10-16,wmape,25,-0.15,335,6.016067577713112,10.330259755046109,6.07920229707712,2,median
hourbias,day,wmape,25,-0.1,345,6.016099811106442,10.319097705325422,6.07923412610335,2,mean
hourbias,day,wmape,25,-0.1,345,6.016099811106442,10.319097705325422,6.07923412610335,2,median
hourbias,11-15,wmape,40,-0.2,215,6.0161065246301755,10.364381555550043,6.079240755406095,2,mean
hourbias,11-15,wmape,40,-0.2,215,6.0161065246301755,10.364381555550043,6.079240755406095,2,median
hourbias,morning,wmape,50,-0.2,35,6.016107066826457,10.318575273166353,6.079241290800541,2,mean
hourbias,7-10,wmape,50,-0.2,35,6.016107066826457,10.318575273166353,6.079241290800541,2,mean
hourbias,8-10,wmape,50,-0.2,35,6.016107066826457,10.318575273166353,6.079241290800541,2,mean
hourbias,morning,wmape,50,-0.2,35,6.016107066826457,10.318575273166353,6.079241290800541,2,median
hourbias,7-10,wmape,50,-0.2,35,6.016107066826457,10.318575273166353,6.079241290800541,2,median
hourbias,8-10,wmape,50,-0.2,35,6.016107066826457,10.318575273166353,6.079241290800541,2,median
hourbias,all,wmape,50,-0.05,269,6.016121344851559,10.332568798704667,6.0792553897081785,2,mean
hourbias,all,wmape,50,-0.05,269,6.016121344851559,10.332568798704667,6.0792553897081785,2,median
hourbias,11-15,wmape,25,-0.1,276,6.016138967288041,10.346807964055738,6.079272791071642,2,mean
hourbias,11-15,wmape,25,-0.1,276,6.016138967288041,10.346807964055738,6.079272791071642,2,median
hourbias,midday,wmape,30,-0.1,277,6.0161783260460515,10.346164636308137,6.079311656075032,2,mean
hourbias,midday,wmape,30,-0.1,277,6.0161783260460515,10.346164636308137,6.079311656075032,2,median
hourbias,evening,absbias,100,0.15,203,6.016179030701113,10.345132769639433,6.079312351890214,13,mean
hourbias,12-13,wmape,40,-0.3,91,6.016203063707615,10.333304973574881,6.079336083403259,3,mean
hourbias,evening,absbias,100,0.2,203,6.0162053094790915,10.345427973987436,6.079338301001588,13,mean
hourbias,11-15,wmape,30,-0.15,250,6.016207130172803,10.351779780759747,6.079340098854743,2,mean
hourbias,11-15,wmape,30,-0.15,250,6.016207130172803,10.351779780759747,6.079340098854743,2,median
hourbias,midday,wmape,40,-0.2,238,6.016233474166637,10.362114032609652,6.079366112363842,2,mean
hourbias,midday,wmape,40,-0.2,238,6.016233474166637,10.362114032609652,6.079366112363842,2,median
hourbias,day,wmape,25,-0.08,345,6.016243909794062,10.321311132057229,6.079376417076588,2,mean
hourbias,day,wmape,25,-0.08,345,6.016243909794062,10.321311132057229,6.079376417076588,2,median
hourbias,night,absbias,100,0.05,464,6.016265315070534,10.369594030179341,6.079397553824408,1,mean
