wmape_3m,wmape_14d,wmape_all,hours,metric,threshold,alpha,applied,delta_3m,delta_14d
7.034158194895755,12.848434406081156,7.087048055826317,night,absdiff_le,150.0,0.2,141,-0.00475526920453806,-0.003879677923729119
7.034253354135983,12.867123015372558,7.08714202129629,night,reldiff_le,0.02,0.4,186,-0.004660109964309989,0.01480893136767314
7.034257874272785,12.84766908730674,7.087146484728091,day,absdiff_le,50.0,0.7,104,-0.004655589827508244,-0.004644996698145221
7.03432886442058,12.80407845250015,7.086625853796212,night,reldiff_le,0.05,-0.1,329,-0.004584599679713364,-0.048235631504734755
7.034361138759198,12.857867433267762,7.087248453764141,night,absdiff_le,300.0,0.15,211,-0.004552325341094843,0.005553349262877205
7.03439054665205,12.794874918831662,7.087306095072475,all,reldiff_le,0.03,-0.1,718,-0.004522917448243291,-0.05743916517322312
7.034473320182963,12.864142084343571,7.08735922787479,peakerr,absdiff_le,150.0,0.3,264,-0.004440143917330275,0.011828000338686806
7.034485239138911,12.847398004494453,7.087370997307738,night,ratio_le,0.02,0.3,126,-0.004428224961381844,-0.0049160795104317145
7.034525369562121,12.858165524847868,7.087410624295806,day,absdiff_le,100.0,0.4,150,-0.00438809453817246,0.00585144084298328
7.0345407761145395,12.849875190594078,7.0874258375734165,all,ratio_le,0.01,0.4,209,-0.004372687985753743,-0.0024388934108063864
7.034559861451041,12.851208694287394,7.087444683484854,night,absdiff_le,100.0,0.3,118,-0.0043536026492523305,-0.0011053897174910787
7.034584185910198,12.851876395248855,7.087468702794289,peakerr,ratio_le,0.01,1.0,86,-0.004329278190095209,-0.00043768875602978596
7.03459527675948,12.779838517473335,7.086602207132935,midday,absdiff_le,500.0,-0.25,255,-0.004318187340813573,-0.07247556653154952
7.034625335291597,12.849570552696033,7.087509335957741,peakerr,absdiff_le,50.0,0.55,159,-0.004288128808696001,-0.0027435313088517432
7.034633868419257,12.810686982423473,7.087166783087047,day,absdiff_le,500.0,-0.1,313,-0.004279595681036419,-0.04162710158141181
7.0346467354127125,12.825544989914937,7.0875590699516335,midday,reldiff_le,0.03,-0.1,225,-0.004266728687580823,-0.026769094089948098
7.0346913352695095,12.855803024120826,7.087574507967603,all,reldiff_le,0.01,0.15,399,-0.004222128830783767,0.0034889401159414746
7.034723062411448,12.819738044510457,7.087254858142869,midday,absdiff_le,500.0,-0.1,255,-0.004190401688845213,-0.03257603949442789
7.034743330266208,12.89601736399368,7.087625850688389,day,profile_abs_le,1250.0,0.05,384,-0.004170133834085377,0.04370327998879553
7.034763537206726,12.850796291575712,7.087645804133351,night,ratio_le,0.05,0.1,198,-0.004149926893567191,-0.0015177924291727152
7.034773206490565,12.827278101851586,7.087655352116269,day,ratio_le,0.08,-0.25,65,-0.0041402576097286925,-0.025035982153298164
7.03480521657199,12.851572011351589,7.087686960632037,peakerr,absdiff_le,100.0,0.2,221,-0.004108247528303188,-0.0007420726532956223
7.034818027578889,12.84910191891904,7.087699610925179,midday,absdiff_le,50.0,0.7,93,-0.0040954365214043165,-0.003212165085844987
7.034849106906601,12.847216931907315,7.087730300363512,all,ratio_le,0.02,0.15,283,-0.004064357193692025,-0.005097152097569335
7.034862309517012,12.855459905585171,7.087743337347511,all,absdiff_le,200.0,0.1,496,-0.004051154583280869,0.003145821580286423
7.0348671876376665,12.85081921972046,7.087748154272265,night,absdiff_le,200.0,0.15,168,-0.0040462764626267855,-0.0014948642844245796
7.03492601835824,12.851756724399893,7.087806246962941,all,absdiff_le,100.0,0.1,371,-0.003987445742053453,-0.0005573596049917029
7.034954698112604,12.896497257254827,7.087834566930515,day,profile_abs_le,2000.0,0.05,576,-0.003958765987689183,0.0441831732499427
7.035065810310524,12.863420782530637,7.087944285228728,night,reldiff_le,0.02,0.3,186,-0.0038476537897693674,0.011106698525752634
7.035104865298047,12.84649456711929,7.087982850272424,night,reldiff_le,0.01,0.3,125,-0.003808598802246266,-0.005819516885594567
7.03515768241462,12.849734841330744,7.08803500479961,night,absdiff_le,50.0,0.7,99,-0.003755781685673476,-0.0025792426741411134
