rolling,beta,hours,gate,thr,applied,wmape_3m,wmape_14d,wmape_all,bias_3m,delta_3m,delta_14d,delta_all
5,-0.3,coremid,absbias,250,45,6.103037409732613,10.647596583224438,6.165582262311098,-39.03566644743245,-0.0016856540156728883,0.0032847296000433346,-0.0016645075288028721
5,0.3,peakerr,wmape,12,52,6.103043211937856,10.631794482275971,6.165587991727823,-39.86525803933595,-0.0016798518104295113,-0.012517371348423012,-0.0016587781120778189
1,0.2,coremid,wmape,10,45,6.103060724154909,10.671062330786835,6.165605284254557,-38.44657563868781,-0.0016623395933770269,0.026750477162440944,-0.001641485585343716
5,0.2,peakerr,wmape,12,52,6.1030719758085255,10.632008815497718,6.165616394756464,-39.60433823238578,-0.0016510879397602096,-0.012303038126676213,-0.0016303750834367747
14,0.05,day,none,0,644,6.103089768250012,10.644860163328666,6.1656339639922235,-38.95807096012296,-0.0016332954982738457,0.0005483097042713325,-0.0016128058476772011
21,0.05,midday,none,0,552,6.103091709533906,10.644272956959092,6.1656358809227605,-38.9563984189767,-0.0016313542143793214,-3.889666530199065e-05,-0.0016108889171402296
3,0.05,nooneve,absbias,100,589,6.103095582100824,10.64213262922056,6.1656397049084255,-38.54955617342678,-0.001627481647461515,-0.0021792244038341124,-0.0016070649314752217
5,0.1,peakerr,absbias,250,117,6.103101265748686,10.645819983314812,6.165645317255068,-38.73372398098477,-0.0016217979995998277,0.0015081296904178032,-0.0016014525848326855
3,0.05,day,absbias,100,217,6.1031017387500315,10.646991263974034,6.165645784322625,-38.82476532911467,-0.001621324998254181,0.002679410349639255,-0.0016009855172756104
1,0.05,midday,wmape,15,24,6.103105829486849,10.6479222715735,6.165649823741251,-38.953913443178784,-0.001617234261436451,0.0036104179491047717,-0.0015969460986493544
3,-0.3,evening,wmape,12,40,6.1031101805242205,10.63229349692655,6.16565412019497,-38.69513527798857,-0.0016128832240651647,-0.012018356697844013,-0.001592649644930333
21,0.2,midday,wmape,10,6,6.103113127595332,10.644311853624394,6.165657030295149,-39.33908842856883,-0.0016099361529535727,0.0,-0.0015897395447517226
34,0.2,midday,wmape,10,6,6.103113127595332,10.644311853624394,6.165657030295149,-39.33908842856883,-0.0016099361529535727,0.0,-0.0015897395447517226
1,0.2,midday,wmape,10,54,6.103117039535201,10.681367706890759,6.165660893159832,-38.357059708256386,-0.0016060242130846447,0.037055853266364736,-0.0015858766800684876
21,0.1,coremid,none,0,460,6.103120040548993,10.644243224286418,6.165663856525983,-38.879660570455826,-0.0016030231992925081,-6.86293379761338e-05,-0.0015829133139177998
14,0.2,midday,wmape,10,36,6.103126503283243,10.644411522209198,6.1656702381853945,-39.3340683620685,-0.0015965604650425291,9.966858480403573e-05,-0.0015765316545062191
14,0.5,midday,wmape,10,36,6.10313148137395,10.645501676940118,6.165675153826079,-39.73243238838564,-0.0015915823743357649,0.0011898233157232596,-0.0015716160138214974
5,0.05,midday,none,0,552,6.103136761646307,10.644968809099048,6.165680367857554,-38.80150518386783,-0.0015863021019786316,0.0006569554746533868,-0.001566401982346477
1,0.1,coremid,wmape,15,20,6.103138197662063,10.651721862350735,6.165681785858529,-38.87996068013866,-0.0015848660862225472,0.007410008726340678,-0.001564983981372059
2,0.1,coremid,wmape,10,50,6.103140043535547,10.64885093319632,6.165683608575577,-39.084407426401356,-0.001583020212738262,0.004539079571925342,-0.0015631612643236537
8,0.1,midday,none,0,552,6.10314575127573,10.648470207783884,6.165689244712304,-38.69244879631354,-0.0015773124725555476,0.004158354159489619,-0.0015575251275965485
8,-0.2,nooneve,wmape,10,228,6.10316150615594,10.626677750176523,6.165704801947943,-38.54351043633931,-0.0015615575923453306,-0.017634103447871752,-0.0015419678919581514
8,0.05,day,none,0,644,6.1031747981280375,10.647125454240573,6.165717927172587,-38.85425392866582,-0.0015482656202481238,0.0028136006161787463,-0.001528842667314123
3,0.05,day,wmape,10,91,6.103181073314167,10.644697014311175,6.165724123636665,-39.085569261354216,-0.00154199043411829,0.0003851606867808499,-0.0015226462032353894
3,0.3,all,wmape,15,24,6.103186789824163,10.63286434909945,6.165729768433188,-39.839790870258604,-0.0015362739241222556,-0.011447504524944918,-0.0015170014067127369
2,0.05,midday,absbias,100,228,6.103188519159438,10.649046420910995,6.165731476073996,-38.76990340643714,-0.0015345445888472753,0.0047345672866008215,-0.001515293765904424
14,2.0,peakerr,wmape,12,13,6.103191826787176,10.632901881896153,6.165734742207627,-38.645720438734394,-0.0015312369611093501,-0.01140997172824143,-0.0015120276322733162
3,0.05,coremid,none,0,460,6.103227442258918,10.645224170710804,6.1657699108841815,-38.78544582569189,-0.001495621489367771,0.0009123170864100416,-0.0014768589557192513
21,0.2,day,wmape,10,7,6.103239581591191,10.644311853624394,6.165781897928837,-39.38418777590968,-0.0014834821570950396,0.0,-0.0014648719110637032
34,0.2,day,wmape,10,7,6.103239581591191,10.644311853624394,6.165781897928837,-39.38418777590968,-0.0014834821570950396,0.0,-0.0014648719110637032
14,0.05,nooneve,none,0,1748,6.103267737128239,10.645279450888903,6.165809700255388,-38.863188681253014,-0.0014553266200465487,0.0009675972645091235,-0.001437069584512507
14,0.05,all,absbias,100,384,6.103296710816499,10.644311853624394,6.165838310469464,-39.190588018400014,-0.0014263529317863899,0.0,-0.0014084593704364323
5,0.1,peakerr,none,0,1196,6.1033022529932115,10.652459988309191,6.165843783119708,-38.10610249970329,-0.0014208107550741644,0.008148134684796915,-0.0014029867201923452
3,-0.2,evening,wmape,12,40,6.10332006692485,10.633857459891233,6.1658613735760275,-38.8195876335003,-0.0014029968234359202,-0.010454393733160927,-0.0013853962638732398
3,0.1,day,absbias,250,84,6.103323118940086,10.646045645009067,6.1658643873038095,-38.709168156432234,-0.0013999448081998267,0.0017337913846731112,-0.0013823825360912423
